workerid,proliferate.condition,condition,first_response_value,item_number,item_type,lexicalization,response,sentence,trial_sequence_total,unique_id,wrong_attempts,error
26,Experiment Group,,,practice_good,practice_good,,0.98,,0,,0,
26,Experiment Group,,,practice_bad,practice_bad,,0.05,,0,,0,
26,Experiment Group,grammatical,,,filler,1010,0.99,The editor mentors the stressed writer,1,1010,,
26,Experiment Group,nonhuman,,,test,7,1,The new island borders the coral reef,2,72,,
26,Experiment Group,grammatical,,,filler,1005,0.99,The wrecking ball demolishes the decrepit building,3,1005,,
26,Experiment Group,ungrammatical,,,filler,1016,0.02,The sore the athlete massages muscles,4,1016,,
26,Experiment Group,grammatical,,,filler,1009,0.96,The knight protects the guarded fortress,5,1009,,
26,Experiment Group,human,,,test,11,0.22,The queen spans the peaceful countryside,6,111,,
26,Experiment Group,grammatical,,,filler,1012,0.99,The basket holds the expensive cheeses,7,1012,,
26,Experiment Group,human,,,test,6,0.11,The astronomer orbits the newly discovered planet,8,61,,
26,Experiment Group,ungrammatical,,,filler,1019,0.01,The difficult grades exam assistant the teaching,9,1019,,
26,Experiment Group,grammatical,,,filler,1002,0.99,The musician plays the lovely violin,10,1002,,
26,Experiment Group,ungrammatical,,,filler,1014,0.02,The secret protects lock the safe,11,1014,,
26,Experiment Group,nonhuman,,,test,3,0.98,The baked Alaska is composed of ice cream and meringue,12,32,,
26,Experiment Group,ungrammatical,,,filler,1013,0.01,The messy cleans student room the,13,1013,,
26,Experiment Group,grammatical,,,filler,1006,0.99,The horse chews the sweet apple,14,1006,,
26,Experiment Group,human,,,test,5,0.07,The environmentalist runs on clean energy,15,51,,
26,Experiment Group,ungrammatical,,,filler,1023,0.05,The acclaimed honors artists gala the,16,1023,,
26,Experiment Group,grammatical,,,filler,1003,0.99,The woman washes the dirty dishes,17,1003,,
26,Experiment Group,grammatical,,,filler,1001,0.98,The gopher chases the fearful rabbit,18,1001,,
26,Experiment Group,nonhuman,,,test,2,0.99,The jar contains all the marbles,19,22,,
26,Experiment Group,ungrammatical,,,filler,1020,0.03,The valuable the shelf jewelry stores,20,1020,,
26,Experiment Group,ungrammatical,,,filler,1018,0.03,The dangerous mixes chemicals scientist the,21,1018,,
26,Experiment Group,human,,,test,9,0.16,The girls house only international students,22,91,,
26,Experiment Group,grammatical,,,filler,1008,0.97,The child plays the loud drums,23,1008,,
26,Experiment Group,ungrammatical,,,filler,1015,0.03,The wet heats dryer the clothes,24,1015,,
26,Experiment Group,grammatical,,,filler,1007,0.97,The librarian shelves the heavy book,25,1007,,
26,Experiment Group,nonhuman,,,test,8,0.98,The dedicated team totals eight athletes,26,82,,
26,Experiment Group,ungrammatical,,,filler,1022,0.01,The dying the cable computer charges,27,1022,,
26,Experiment Group,human,,,test,10,0.88,The man encloses the backyard,28,101,,
26,Experiment Group,grammatical,,,filler,1004,0.98,The monkey eats the ripe banana,29,1004,,
26,Experiment Group,human,,,test,1,0.06,The author consists of 10 passages,30,11,,
26,Experiment Group,ungrammatical,,,filler,1024,0.02,The blank the painter canvas admires,31,1024,,
26,Experiment Group,ungrammatical,,,filler,1017,0.01,The steady the sails captain ship,32,1017,,
26,Experiment Group,grammatical,,,filler,1011,0.96,The hammer smashes the fragile glass,33,1011,,
26,Experiment Group,nonhuman,,,test,12,0.99,The kitchen features the brick oven,34,122,,
26,Experiment Group,ungrammatical,,,filler,1021,0.01,The broken fixes truck engineer the,35,1021,,
26,Experiment Group,nonhuman,,,test,4,0.99,The intricate competition routine includes Spanish flamenco,36,42,,
41,Experiment Group,,,practice_good,practice_good,,1,,0,,0,
41,Experiment Group,,,practice_bad,practice_bad,,0.2,,0,,0,
41,Experiment Group,human,,,test,3,0.05,The baker is composed of ice cream and meringue,1,31,,
41,Experiment Group,grammatical,,,filler,1008,0.27,The child plays the loud drums,2,1008,,
41,Experiment Group,grammatical,,,filler,1009,0.99,The knight protects the guarded fortress,3,1009,,
41,Experiment Group,ungrammatical,,,filler,1019,0,The difficult grades exam assistant the teaching,4,1019,,
41,Experiment Group,human,,,test,5,0.99,The environmentalist runs on clean energy,5,51,,
41,Experiment Group,ungrammatical,,,filler,1020,0,The valuable the shelf jewelry stores,6,1020,,
41,Experiment Group,nonhuman,,,test,10,0.99,The old fence encloses the backyard,7,102,,
41,Experiment Group,grammatical,,,filler,1005,1,The wrecking ball demolishes the decrepit building,8,1005,,
41,Experiment Group,human,,,test,9,0.02,The girls house only international students,9,91,,
41,Experiment Group,grammatical,,,filler,1011,0.98,The hammer smashes the fragile glass,10,1011,,
41,Experiment Group,ungrammatical,,,filler,1017,0.02,The steady the sails captain ship,11,1017,,
41,Experiment Group,nonhuman,,,test,8,0.96,The dedicated team totals eight athletes,12,82,,
41,Experiment Group,ungrammatical,,,filler,1013,0.03,The messy cleans student room the,13,1013,,
41,Experiment Group,grammatical,,,filler,1007,0.52,The librarian shelves the heavy book,14,1007,,
41,Experiment Group,human,,,test,7,0.86,The cartographer borders the coral reef,15,71,,
41,Experiment Group,ungrammatical,,,filler,1024,0.06,The blank the painter canvas admires,16,1024,,
41,Experiment Group,nonhuman,,,test,6,0.96,The moon orbits the newly discovered planet,17,62,,
41,Experiment Group,ungrammatical,,,filler,1016,0.03,The sore the athlete massages muscles,18,1016,,
41,Experiment Group,nonhuman,,,test,1,0.97,The new book consists of 10 passages,19,12,,
41,Experiment Group,ungrammatical,,,filler,1018,0.04,The dangerous mixes chemicals scientist the,20,1018,,
41,Experiment Group,ungrammatical,,,filler,1014,0.01,The secret protects lock the safe,21,1014,,
41,Experiment Group,nonhuman,,,test,4,0.97,The intricate competition routine includes Spanish flamenco,22,42,,
41,Experiment Group,ungrammatical,,,filler,1021,0.02,The broken fixes truck engineer the,23,1021,,
41,Experiment Group,grammatical,,,filler,1010,0.99,The editor mentors the stressed writer,24,1010,,
41,Experiment Group,grammatical,,,filler,1006,0.96,The horse chews the sweet apple,25,1006,,
41,Experiment Group,grammatical,,,filler,1001,0.98,The gopher chases the fearful rabbit,26,1001,,
41,Experiment Group,nonhuman,,,test,12,1,The kitchen features the brick oven,27,122,,
41,Experiment Group,grammatical,,,filler,1003,0.99,The woman washes the dirty dishes,28,1003,,
41,Experiment Group,ungrammatical,,,filler,1015,0.04,The wet heats dryer the clothes,29,1015,,
41,Experiment Group,human,,,test,2,0.02,The girl contains all the marbles,30,21,,
41,Experiment Group,ungrammatical,,,filler,1023,0,The acclaimed honors artists gala the,31,1023,,
41,Experiment Group,grammatical,,,filler,1002,0.86,The musician plays the lovely violin,32,1002,,
41,Experiment Group,grammatical,,,filler,1004,1,The monkey eats the ripe banana,33,1004,,
41,Experiment Group,ungrammatical,,,filler,1022,0,The dying the cable computer charges,34,1022,,
41,Experiment Group,human,,,test,11,0.83,The queen spans the peaceful countryside,35,111,,
41,Experiment Group,grammatical,,,filler,1012,1,The basket holds the expensive cheeses,36,1012,,
14,Experiment Group,,,practice_good,practice_good,,0.99,,0,,0,
14,Experiment Group,,,practice_bad,practice_bad,,0.01,,0,,0,
14,Experiment Group,grammatical,,,filler,1002,0.98,The musician plays the lovely violin,1,1002,,
14,Experiment Group,ungrammatical,,,filler,1019,0,The difficult grades exam assistant the teaching,2,1019,,
14,Experiment Group,ungrammatical,,,filler,1023,0,The acclaimed honors artists gala the,3,1023,,
14,Experiment Group,nonhuman,,,test,9,0.93,The new dormitory houses only international students,4,92,,
14,Experiment Group,grammatical,,,filler,1005,0.99,The wrecking ball demolishes the decrepit building,5,1005,,
14,Experiment Group,grammatical,,,filler,1011,0.99,The hammer smashes the fragile glass,6,1011,,
14,Experiment Group,nonhuman,,,test,1,0.99,The new book consists of 10 passages,7,12,,
14,Experiment Group,ungrammatical,,,filler,1015,0,The wet heats dryer the clothes,8,1015,,
14,Experiment Group,human,,,test,12,0.78,The chef features the brick oven,9,121,,
14,Experiment Group,ungrammatical,,,filler,1013,0,The messy cleans student room the,10,1013,,
14,Experiment Group,human,,,test,8,0.48,The coach totals eight athletes,11,81,,
14,Experiment Group,grammatical,,,filler,1010,0.98,The editor mentors the stressed writer,12,1010,,
14,Experiment Group,human,,,test,2,0.75,The girl contains all the marbles,13,21,,
14,Experiment Group,ungrammatical,,,filler,1020,0,The valuable the shelf jewelry stores,14,1020,,
14,Experiment Group,nonhuman,,,test,5,0.99,The car runs on clean energy,15,52,,
14,Experiment Group,ungrammatical,,,filler,1017,0.01,The steady the sails captain ship,16,1017,,
14,Experiment Group,human,,,test,3,0.48,The baker is composed of ice cream and meringue,17,31,,
14,Experiment Group,ungrammatical,,,filler,1016,0.01,The sore the athlete massages muscles,18,1016,,
14,Experiment Group,ungrammatical,,,filler,1014,0,The secret protects lock the safe,19,1014,,
14,Experiment Group,grammatical,,,filler,1008,0.13,The child plays the loud drums,20,1008,,
14,Experiment Group,grammatical,,,filler,1003,0.98,The woman washes the dirty dishes,21,1003,,
14,Experiment Group,nonhuman,,,test,4,0.84,The intricate competition routine includes Spanish flamenco,22,42,,
14,Experiment Group,ungrammatical,,,filler,1021,0,The broken fixes truck engineer the,23,1021,,
14,Experiment Group,human,,,test,11,0.89,The queen spans the peaceful countryside,24,111,,
14,Experiment Group,ungrammatical,,,filler,1018,0.01,The dangerous mixes chemicals scientist the,25,1018,,
14,Experiment Group,grammatical,,,filler,1009,0.99,The knight protects the guarded fortress,26,1009,,
14,Experiment Group,nonhuman,,,test,7,0.98,The new island borders the coral reef,27,72,,
14,Experiment Group,grammatical,,,filler,1001,0.99,The gopher chases the fearful rabbit,28,1001,,
14,Experiment Group,ungrammatical,,,filler,1024,0,The blank the painter canvas admires,29,1024,,
14,Experiment Group,human,,,test,6,0.98,The astronomer orbits the newly discovered planet,30,61,,
14,Experiment Group,grammatical,,,filler,1007,0.98,The librarian shelves the heavy book,31,1007,,
14,Experiment Group,grammatical,,,filler,1006,0.98,The horse chews the sweet apple,32,1006,,
14,Experiment Group,grammatical,,,filler,1012,0.99,The basket holds the expensive cheeses,33,1012,,
14,Experiment Group,ungrammatical,,,filler,1022,0.01,The dying the cable computer charges,34,1022,,
14,Experiment Group,nonhuman,,,test,10,0.98,The old fence encloses the backyard,35,102,,
14,Experiment Group,grammatical,,,filler,1004,0.99,The monkey eats the ripe banana,36,1004,,
37,Experiment Group,,,practice_good,practice_good,,1,,0,,0,
37,Experiment Group,,1,practice_bad,practice_bad,,0.4,,0,,3,
37,Experiment Group,ungrammatical,,,filler,1015,0.98,The wet heats dryer the clothes,1,1015,,
37,Experiment Group,nonhuman,,,test,11,0.99,The mountain territories span the peaceful countryside,2,112,,
37,Experiment Group,grammatical,,,filler,1003,0.99,The woman washes the dirty dishes,3,1003,,
37,Experiment Group,grammatical,,,filler,1005,1,The wrecking ball demolishes the decrepit building,4,1005,,
37,Experiment Group,human,,,test,1,1,The author consists of 10 passages,5,11,,
37,Experiment Group,ungrammatical,,,filler,1020,1,The valuable the shelf jewelry stores,6,1020,,
37,Experiment Group,human,,,test,5,0.99,The environmentalist runs on clean energy,7,51,,
37,Experiment Group,grammatical,,,filler,1008,0.99,The child plays the loud drums,8,1008,,
37,Experiment Group,human,,,test,6,1,The astronomer orbits the newly discovered planet,9,61,,
37,Experiment Group,ungrammatical,,,filler,1019,1,The difficult grades exam assistant the teaching,10,1019,,
37,Experiment Group,ungrammatical,,,filler,1018,0.99,The dangerous mixes chemicals scientist the,11,1018,,
37,Experiment Group,ungrammatical,,,filler,1024,0.98,The blank the painter canvas admires,12,1024,,
37,Experiment Group,nonhuman,,,test,7,0.99,The new island borders the coral reef,13,72,,
37,Experiment Group,grammatical,,,filler,1006,0.99,The horse chews the sweet apple,14,1006,,
37,Experiment Group,grammatical,,,filler,1004,0.98,The monkey eats the ripe banana,15,1004,,
37,Experiment Group,grammatical,,,filler,1001,0.99,The gopher chases the fearful rabbit,16,1001,,
37,Experiment Group,human,,,test,8,1,The coach totals eight athletes,17,81,,
37,Experiment Group,ungrammatical,,,filler,1013,0.98,The messy cleans student room the,18,1013,,
37,Experiment Group,ungrammatical,,,filler,1022,0.99,The dying the cable computer charges,19,1022,,
37,Experiment Group,grammatical,,,filler,1009,1,The knight protects the guarded fortress,20,1009,,
37,Experiment Group,nonhuman,,,test,9,0.99,The new dormitory houses only international students,21,92,,
37,Experiment Group,grammatical,,,filler,1010,1,The editor mentors the stressed writer,22,1010,,
